Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
4436898.503224559,3085262.394158855,3376322.4088218897,32.168846121877316,34.81338630481502,51.77111114934087
4436891.57430855,3085249.5907270983,3376310.063734278,32.16881429403732,34.813316796147824,34.19586671888828
4434495.568552572,3085022.068346965,3375338.5950352848,32.171467452986256,34.825843808037035,-2258.0341872442514
4434500.724957019,3085015.1672774157,3375336.797339477,32.17145232424051,34.82575249015902,-2258.744410394691
4436923.0424988875,3085231.396249133,3376322.050987955,32.16883162531243,34.81296795003807,53.65481892693788
4436927.906249027,3085220.5546485656,3376321.5760367895,32.16883854439252,34.812844139165755,51.54288928024471
4436932.2620115895,3085215.1594855357,3376322.94955129,32.16884664722832,34.81277081205892,52.6941040456295
4436933.520664932,3085207.733310373,3376317.7041114653,32.16882199999364,34.812698551742635,47.18736175633967
4436937.341605448,3085196.0661594723,3376324.0626459457,32.168887455758075,34.812573866360225,47.59005443379283
4436936.713833469,3085194.2984186513,3376312.7398061105,32.16880834296293,34.81256227853047,40.271403558552265
4435813.18242148,3085293.041834905,3375186.7002116353,32.164369808060016,34.82022345182763,-1292.3073640381917
4436944.744618897,3085181.644637251,3376323.687247414,32.16889493730826,34.812403523730545,45.56594708096236
4435751.85273803,3085162.3355934755,3375072.5055856695,32.16409799322726,34.819456948032666,-1458.8988466979936
4435754.62384313,3085152.3203462446,3375069.30464656,32.16409008752689,34.81935298138366,-1463.5180109338835
4436952.714653057,3085173.4836907377,3376316.9607270923,32.168834541973716,34.812284245284346,43.58031540736556
4436951.2884846935,3085167.728590851,3376327.7838253095,32.168938556668444,34.81224278111251,45.57001264113933
4435555.976867004,3084960.2958098403,3376385.12294326,32.175446015941475,34.81888406247337,-993.7915638880804
4434951.490797495,3085023.299357361,3375110.3369553904,32.16792344580222,34.8230931538376,-2062.1609142944217
4436969.896735603,3085160.0297180987,3376321.8461912433,32.16884098090005,34.81206313554334,51.62073570955545
4436972.226697637,3085151.035542778,3376315.6771687893,32.16880935784883,34.81197074159703,45.609153896570206
4436976.148788209,3085150.981128522,3376316.009918353,32.16879658621586,34.81194652901468,48.485826125368476
